event_id,time_to_tca,mission_id,t_span,c_span,self_t_j2k_sma,self_t_j2k_ecc,self_t_j2k_inc,self_t_j2k_Omega,self_t_j2k_omega,self_t_j2k_theta,self_c_j2k_sma,self_c_j2k_ecc,self_c_j2k_inc,self_c_j2k_Omega,self_c_j2k_omega,self_c_j2k_theta,self_mahalanobis_distance_B,self_relative_speed_B,self_det_C_B,self_geocentric_latitude,self_t_sigma_rsquared,self_t_sigma_tsquared,self_t_sigma_nsquared,self_t_sigma_rt,self_t_sigma_rn,self_t_sigma_tn,self_c_sigma_rsquared,self_c_sigma_tsquared,self_c_sigma_nsquared,self_c_sigma_rt,self_c_sigma_rn,self_c_sigma_tn
2427,5.18028016203704,18,27.71,2,7186748.48493666,0.000641773504086234,98.8287767875999,0,289.369369369369,160.612061206121,7190240.88054799,0.00243656852250082,81.2830349973548,170.932541977786,184.422576995729,266.981767947359,1.57519808900539,43.1724449157098,3971154.45428651,81.1712038388416,93.1700905887535,17779.6454279511,19.1737223188004,-262.339811350055,23.603821739353,-93.312253873865,634.657091072037,819989.936315031,251.034082907407,-1962.29221624529,70.7741365522766,1139.82381058435
2427,4.86471293981482,18,27.71,2,7186748.39388021,0.000641125661290815,98.8287633661069,0,289.369369369369,160.684068406841,7190238.81903926,0.00243744271909304,81.2718041681898,170.932266891381,184.361969788859,266.971293825605,1.59959176296837,42.221558474315,3128343.64535738,81.1710761961801,90.15744068543,14649.0208006797,20.1982596122973,-21.2604895269265,23.6888149912795,-36.2775501219175,635.092969421296,840046.481006115,251.035852141862,-2056.41995536319,70.7724724837744,1140.57509727891
10378,6.288135625,7,9.1,11.79,6868755.52771663,0.000487181101623286,87.6597505317532,0,312.072072072072,147.614761476148,6870033.96877886,0.000226965028710811,98.6601416278676,226.662420082957,271.896024518271,173.158951312789,0.351638696294564,50.068153550935,20042783.7285421,80.0371076391635,55.56424,38325.67,5.419849,-71.45193,-12.09936,22.61254,457.1115,290650.5,35.72483,898.1415,83.72623,239.6062
6694,4.745144375,1,21,2,7066563.16219319,0.00097393724657811,98.0811622379494,0,156.036036036036,263.510351035104,7090124.56894391,0.00364358463476329,86.465503831402,172.364618426632,93.0443656992806,28.1836194537457,21.850560077312,335.79060439506,4701083.66926251,58.5921788670454,5.308916,5497.3,6.938268,-8.00502,-2.694694,-2.457404,63.06616,10801060,98.86553,-6423.468,-10.20794,-989.065
8756,4.29593474537037,4,5.42,2,7193677.9134469,0.000538602808312648,98.7790861472027,0,230.630630630631,211.305130513051,7182192.83749182,0.0023818675746775,82.8095527046728,169.646821032834,249.466670465783,210.039694383579,1.59889119475833,32.8124976190475,276457.853366044,78.1006763951468,67.497,2186.038,16.1916,-93.55673,7.548908,-7.330075,237.2855,1302947,337.953,-4042.978,-15.64204,-1654.831
2986,3.30132748842593,13,11.8,2,6867228.69607443,0.000648847613512493,98.5462716470197,0,157.117117117117,265.742574257426,6861682.88481581,0.00320708010998438,97.3063373785906,150.092034496026,11.7960637573066,105.678573588408,0.596662283565463,101.078484357454,22282688.4411911,61.6436771709156,20.052346157381,576289.646180014,12.0680390803488,-2718.56481447464,-0.665058672307697,-119.619065808209,158.33273141074,899706.170127153,114.077035949397,-956.839780467056,74.7070467181136,374.233284871047
8756,5.00594712962963,4,5.42,2,7193677.8497862,0.000538355645220281,98.779108785622,0,230.990990990991,210.909090909091,7182194.05395111,0.0023810316622396,82.8164450398343,169.648783494276,249.567759870969,209.973430275887,2.65531776876368,57.5856753021096,2728012.09442637,78.0766410112716,102.5584,5797.889,16.78613,-275.1017,7.296629,-12.05964,226.4427,2625819,296.027,-8009.425,31.24623,-1012.212
11548,1.87321584490741,1,21,2,7061825.9391249,0.000524580706756922,98.2654252473833,0,276.036036036036,173.861386138614,7049886.48856269,0.00266352520600244,86.9771429135999,112.038403664148,311.367401057112,146.328253146822,4.98688334326831,200.247721585041,304225764.114362,81.7339426787862,2.036008,841.8173,2.030729,-5.529647,0.5009863,-0.5065643,795.3029,1402402,402.4472,-11033.54,-45.02911,1027.827
10848,0.951150300925926,7,9.1,2,6868341.65341818,0.000799943942582347,87.7892508598155,0,332.252252252252,131.017101710171,6985775.64897188,0.0168979561771434,98.8998799004708,309.806267269666,115.746044134332,344.379306438125,2.21062693420277,127.156832297757,20530978.2606709,76.5510051036987,13.22096,931.8544,3.10062,-2.906572,1.163017,1.559315,213.5387,116039.6,126.3909,-853.4562,117.2964,-275.1782
11548,1.5752299537037,1,21,2,7061826.00833405,0.000524338659787221,98.2654282756489,0,276.036036036036,173.825382538254,7049887.37687309,0.00266470301732774,87.0111363637604,112.042992452962,311.41713758981,146.29124111388,9.6176911757299,345.370366418429,283636769.916607,81.7334181196385,8.553956,573.5223,2.192811,-31.70869,0.3253251,-0.510203,792.8992,1282386,402.4465,-10483.83,-45.09354,1039.104
10848,1.33374283564815,7,9.1,2,6868341.41272235,0.00079978305512407,87.7892660498749,0,332.252252252252,130.981098109811,6985766.36820879,0.0168998319773709,98.8723689760494,309.801320581135,115.75036069386,344.351941809547,1.56505646757106,162.485476274035,22357526.778318,76.5865111934905,15.14181,3410.391,3.3647,-50.22935,1.809933,-6.996145,213.9412,122127.8,126.3917,-903.0487,117.3059,-276.2539
4838,2.42943349537037,7,9.1,2,6867400.36709091,0.00324927043265521,87.8441468898846,0,95.1351351351351,182.250225022502,6862333.87519245,0.00400085765673455,97.401072038855,237.808043638856,83.0494051343994,184.83753054509,4.48586853642273,559.370154727619,5554450.34316719,-82.3080902294319,15.3312415664024,16953.6117669783,2.93069505413562,-74.454976873883,1.00818773744624,2.54051285825372,50.7371977769239,642498.050669913,31.9808035322408,-4395.68576720153,11.4218469669106,177.797989232518
10848,1.64321046296296,7,9.1,2,6868341.64241004,0.000799420426353178,87.7892681856022,0,332.252252252252,131.053105310531,6985769.49333935,0.0168966996131308,98.9279743304821,309.811348002289,115.759755650398,344.38988480665,1.7811943265121,256.163580549617,23943970.1797107,76.5155016594691,17.10791,6618.999,3.501134,-47.05973,2.498189,-1.538589,214.1855,125649.9,126.3939,-932.4188,117.3144,-277.0604
